ward,district,city
An Phú Tây,Bình Chánh,Hồ Chí Minh
Bình Chánh,Bình Chánh,Hồ Chí Minh
Bình Hưng,Bình Chánh,Hồ Chí Minh
Bình Lợi,Bình Chánh,Hồ Chí Minh
Đa Phước,Bình Chánh,Hồ Chí Minh
Hưng Long,Bình Chánh,Hồ Chí Minh
Lê Minh Xuân,Bình Chánh,Hồ Chí Minh
Phạm Văn Hai,Bình Chánh,Hồ Chí Minh
Phong Phú,Bình Chánh,Hồ Chí Minh
Quy Đức,Bình Chánh,Hồ Chí Minh
Tân Kiên,Bình Chánh,Hồ Chí Minh
Tân Nhựt,Bình Chánh,Hồ Chí Minh
Tân Quý Tây,Bình Chánh,Hồ Chí Minh
Tân Túc,Bình Chánh,Hồ Chí Minh
Vĩnh Lộc A,Bình Chánh,Hồ Chí Minh
Vĩnh Lộc B,Bình Chánh,Hồ Chí Minh
An Lạc,Bình Tân,Hồ Chí Minh
An Lạc A,Bình Tân,Hồ Chí Minh
Bình Hưng Hòa,Bình Tân,Hồ Chí Minh
Bình Hưng Hoà A,Bình Tân,Hồ Chí Minh
Bình Hưng Hoà B,Bình Tân,Hồ Chí Minh
Bình Trị Đông,Bình Tân,Hồ Chí Minh
Bình Trị Đông A,Bình Tân,Hồ Chí Minh
Bình Trị Đông B,Bình Tân,Hồ Chí Minh
Tân Tạo,Bình Tân,Hồ Chí Minh
Tân Tạo A,Bình Tân,Hồ Chí Minh
Phường 1,Bình Thạnh,Hồ Chí Minh
Phường 2,Bình Thạnh,Hồ Chí Minh
Phường 3,Bình Thạnh,Hồ Chí Minh
Phường 5,Bình Thạnh,Hồ Chí Minh
Phường 6,Bình Thạnh,Hồ Chí Minh
Phường 7,Bình Thạnh,Hồ Chí Minh
Phường 11,Bình Thạnh,Hồ Chí Minh
Phường 12,Bình Thạnh,Hồ Chí Minh
Phường 13,Bình Thạnh,Hồ Chí Minh
Phường 14,Bình Thạnh,Hồ Chí Minh
Phường 15,Bình Thạnh,Hồ Chí Minh
Phường 17,Bình Thạnh,Hồ Chí Minh
Phường 19,Bình Thạnh,Hồ Chí Minh
Phường 21,Bình Thạnh,Hồ Chí Minh
Phường 22,Bình Thạnh,Hồ Chí Minh
Phường 24,Bình Thạnh,Hồ Chí Minh
Phường 25,Bình Thạnh,Hồ Chí Minh
Phường 26,Bình Thạnh,Hồ Chí Minh
Phường 27,Bình Thạnh,Hồ Chí Minh
Phường 28,Bình Thạnh,Hồ Chí Minh
An Thới Đông,Cần Giờ,Hồ Chí Minh
Bình Khánh,Cần Giờ,Hồ Chí Minh
Cần Thạnh,Cần Giờ,Hồ Chí Minh
Long Hòa,Cần Giờ,Hồ Chí Minh
Lý Nhơn,Cần Giờ,Hồ Chí Minh
Tam Thôn Hiệp,Cần Giờ,Hồ Chí Minh
Thạnh An,Cần Giờ,Hồ Chí Minh
An Nhơn Tây,Củ Chi,Hồ Chí Minh
An Phú,Củ Chi,Hồ Chí Minh
Bình Mỹ,Củ Chi,Hồ Chí Minh
Củ Chi,Củ Chi,Hồ Chí Minh
Hòa Phú,Củ Chi,Hồ Chí Minh
Nhuận Đức,Củ Chi,Hồ Chí Minh
Phạm Văn Cội,Củ Chi,Hồ Chí Minh
Phú Hòa Đông,Củ Chi,Hồ Chí Minh
Phú Mỹ Hưng,Củ Chi,Hồ Chí Minh
Phước Hiệp,Củ Chi,Hồ Chí Minh
Phước Thạnh,Củ Chi,Hồ Chí Minh
Phước Vĩnh An,Củ Chi,Hồ Chí Minh
Tân An Hội,Củ Chi,Hồ Chí Minh
Tân Phú Trung,Củ Chi,Hồ Chí Minh
Tân Thạnh Đông,Củ Chi,Hồ Chí Minh
Tân Thạnh Tây,Củ Chi,Hồ Chí Minh
Tân Thông Hội,Củ Chi,Hồ Chí Minh
Thái Mỹ,Củ Chi,Hồ Chí Minh
Trung An,Củ Chi,Hồ Chí Minh
Trung Lập Hạ,Củ Chi,Hồ Chí Minh
Trung Lập Thượng,Củ Chi,Hồ Chí Minh
Phường 1,Gò Vấp,Hồ Chí Minh
Phường 3,Gò Vấp,Hồ Chí Minh
Phường 4,Gò Vấp,Hồ Chí Minh
Phường 5,Gò Vấp,Hồ Chí Minh
Phường 6,Gò Vấp,Hồ Chí Minh
Phường 7,Gò Vấp,Hồ Chí Minh
Phường 8,Gò Vấp,Hồ Chí Minh
Phường 9,Gò Vấp,Hồ Chí Minh
Phường 10,Gò Vấp,Hồ Chí Minh
Phường 11,Gò Vấp,Hồ Chí Minh
Phường 12,Gò Vấp,Hồ Chí Minh
Phường 13,Gò Vấp,Hồ Chí Minh
Phường 14,Gò Vấp,Hồ Chí Minh
Phường 15,Gò Vấp,Hồ Chí Minh
Phường 16,Gò Vấp,Hồ Chí Minh
Phường 17,Gò Vấp,Hồ Chí Minh
Bà Điểm,Hóc Môn,Hồ Chí Minh
Đông Thạnh,Hóc Môn,Hồ Chí Minh
Hóc Môn,Hóc Môn,Hồ Chí Minh
Nhị Bình,Hóc Môn,Hồ Chí Minh
Tân Hiệp,Hóc Môn,Hồ Chí Minh
Tân Thới Nhì,Hóc Môn,Hồ Chí Minh
Tân Xuân,Hóc Môn,Hồ Chí Minh
Thới Tam Thôn,Hóc Môn,Hồ Chí Minh
Trung Chánh,Hóc Môn,Hồ Chí Minh
Xuân Thới Đông,Hóc Môn,Hồ Chí Minh
Xuân Thới Sơn,Hóc Môn,Hồ Chí Minh
Xuân Thới Thượng,Hóc Môn,Hồ Chí Minh
Hiệp Phước,Nhà Bè,Hồ Chí Minh
Long Thới,Nhà Bè,Hồ Chí Minh
Nhà Bè,Nhà Bè,Hồ Chí Minh
Nhơn Đức,Nhà Bè,Hồ Chí Minh
Phước Kiển,Nhà Bè,Hồ Chí Minh
Phước Lộc,Nhà Bè,Hồ Chí Minh
Phú Xuân,Nhà Bè,Hồ Chí Minh
Phường 1,Phú Nhuận,Hồ Chí Minh
Phường 2,Phú Nhuận,Hồ Chí Minh
Phường 3,Phú Nhuận,Hồ Chí Minh
Phường 4,Phú Nhuận,Hồ Chí Minh
Phường 5,Phú Nhuận,Hồ Chí Minh
