class_of,program_semester,abc_of
2019-2023,1,a
2019-2023,2,a
2019-2023,3,a
2019-2023,4,a
2019-2023,5,a
2019-2023,6,a
2019-2023,7,a
2019-2023,8,a
2020-2024,1,a
2020-2024,2,a
2020-2024,3,a
2020-2024,4,a
2020-2024,5,a
2020-2024,6,a
2020-2024,7,a
2020-2024,8,a
2019-2023,1,b
2019-2023,2,b
2019-2023,3,b
2019-2023,4,b
2019-2023,5,b
2019-2023,6,b
2019-2023,7,b
2019-2023,8,b
2020-2024,1,b
2020-2024,2,b
2020-2024,3,b
2020-2024,4,b
2020-2024,5,b
2020-2024,6,b
2020-2024,7,b
2020-2024,8,b
2019-2023,1,c
2019-2023,2,c
2019-2023,3,c
2019-2023,4,c
2019-2023,5,c
2019-2023,6,c
2019-2023,7,c
2019-2023,8,c
2020-2024,1,c
2020-2024,2,c
2020-2024,3,c
2020-2024,4,c
2020-2024,5,c
2020-2024,6,c
2020-2024,7,c
2020-2024,8,c
